"Codigo","TituloConta","DataLancamento","CodigoEvento","Valor"
"0204010100","Capital","2020-12-08","10.0.0001","27434.3000"
"0204010100","Capital","2021-01-04","10.0.0001","2000.0000"
"0204010100","Capital","2021-02-05","10.0.0001","2000.0000"
"0204010100","Capital","2019-09-06","10.0.0001","636036.8200"
"0204010100","Capital","2019-12-16","10.0.0001","8659.7100"
"0204010100","Capital","2019-01-01","10.0.0001","77967.9400"
"0204010100","Capital","2021-04-06","10.0.0001","2000.0000"
"0204010100","Capital","2021-05-03","10.0.0001","2000.0000"
"0204010100","Capital","2021-03-02","10.0.0001","2000.0000"
"0204010100","Capital","2021-06-07","10.0.0001","2000.0000"
"0204010100","Capital","2021-07-01","10.0.0001","2000.0000"
"0204010100","Capital","2021-08-02","10.0.0001","2000.0000"
"0204010100","Capital","2021-09-01","10.0.0001","2000.0000"
"0204010100","Capital","2021-09-28","10.0.0001","214000.0000"
"0204010100","Capital","2021-10-27","10.0.0001","93000.0000"
"0204010100","Capital","2021-10-01","10.0.0001","2000.0000"
"0204010100","Capital","2021-11-03","10.0.0001","2000.0000"
"0204010100","Capital","2021-12-06","10.0.0001","4000.0000"
"0204010100","Capital","2021-12-21","10.0.0001","27071.3500"
"0204010100","Capital","2021-12-30","10.0.0001","15000.0000"
"0204010100","Capital","2022-01-05","10.0.0001","2000.0000"
"0204010100","Capital","2022-03-03","10.0.0001","2000.0000"
"0204010100","Capital","2022-03-23","10.0.0001","12000.0000"
"0204010100","Capital","2022-04-04","10.0.0001","2000.0000"
"0204010100","Capital","2022-05-02","10.0.0001","2000.0000"
"0204010100","Capital","2022-05-31","10.0.0001","9900.0000"
"0204010100","Capital","2022-06-02","10.0.0001","987000.0000"
"0204010100","Capital","2022-06-07","10.0.0001","2000.0000"
"0204010100","Capital","2022-07-11","10.0.0001","2000.0000"
"0204010100","Capital","2022-08-03","10.0.0001","2000.0000"
"0204010100","Capital","2022-08-17","10.0.0001","10000.0000"
"0204010100","Capital","2022-09-01","10.0.0001","2000.0000"
"0204010100","Capital","2022-09-20","10.0.0001","4000.0000"
"0204010100","Capital","2022-10-11","10.0.0001","2000.0000"
"0204010100","Capital","2022-11-07","10.0.0001","2000.0000"
"0204010100","Capital","2022-12-05","10.0.0001","4000.0000"
"0204010100","Capital","2022-12-08","10.0.0001","10000.0000"
"0204010100","Capital","2022-12-29","10.0.0001","2200.0000"
"0204010100","Capital","2023-01-02","10.0.0001","2000.0000"
"0204010100","Capital","2022-02-01","10.0.0001","2000.0000"
"0204010100","Capital","2023-01-31","10.0.0001","6000.0000"
"0204010100","Capital","2023-02-06","10.0.0001","2000.0000"
"0204010100","Capital","2023-03-06","10.0.0001","2000.0000"
"0204010100","Capital","2023-02-10","10.0.0001","10000.0000"
"0204010100","Capital","2023-02-28","10.0.0001","4600.0000"
"0204010100","Capital","2023-03-10","10.0.0001","12000.0000"
"0204010100","Capital","2023-05-03","10.0.0001","2000.0000"
"0204010100","Capital","2023-04-03","10.0.0001","2000.0000"
"0204010100","Capital","2023-06-12","10.0.0001","2000.0000"
"0204010100","Capital","2023-07-10","10.0.0001","2000.0000"
"0204010100","Capital","2023-08-02","10.0.0001","2000.0000"
"0204010100","Capital","2023-08-24","10.0.0001","2000.0000"
"0204010100","Capital","2023-08-17","10.0.0001","185000.0000"
"0204010100","Capital","2023-10-02","10.0.0001","2000.0000"
"0204010100","Capital","2023-11-03","10.0.0001","2000.0000"
"0204010100","Capital","2023-12-05","10.0.0001","4000.0000"
"0204010100","Capital","2024-01-04","10.0.0001","22000.0000"
"0204010100","Capital","2024-02-06","10.0.0001","2000.0000"
"0204010100","Capital","2024-03-01","10.0.0001","2000.0000"
"0204010100","Capital","2023-09-26","10.0.0001","5000.0000"
"0204010100","Capital","2024-02-20","10.0.0001","19000.0000"
"0204010100","Capital","2024-04-01","10.0.0001","2000.0000"
"0204010100","Capital","2024-05-02","10.0.0001","2000.0000"
"0204010100","Capital","2024-06-03","10.0.0001","2000.0000"
"0204010100","Capital","2024-07-15","10.0.0001","2000.0000"
"0204010100","Capital","2024-08-16","10.0.0001","28000.0000"
"0204010100","Capital","2024-09-05","10.0.0001","5000.0000"
"0204010100","Capital","2024-10-08","10.0.0001","10000.0000"
"0204010100","Capital","2024-10-09","10.0.0001","45000.0000"
"0204010100","Capital","2025-01-10","10.0.0001","30000.0000"
"0204010100","Capital","2025-03-10","10.0.0001","45000.0000"
"0204010100","Capital","2025-03-21","10.0.0001","410000.0000"
"0204010100","Capital","2025-03-25","10.0.0001","80000.0000"
"0204010100","Capital","2025-03-31","10.0.0001","10000.0000"
"0101010100","Caixa","2020-08-27","10.0.0003","18600.0000"
"0101010100","Caixa","2020-06-09","10.0.0003","54000.0000"
"0101010100","Caixa","2020-07-07","10.0.0003","9823.0000"
"0101010100","Caixa","2019-08-28","10.0.0003","3932.0000"
"0101010100","Caixa","2019-07-29","10.0.0003","19676.0000"
"0101010100","Caixa","2019-03-26","10.0.0003","30680.0000"
"0101010100","Caixa","2019-06-18","10.0.0003","11850.0000"
"0101010100","Caixa","2019-02-14","10.0.0003","10411.0000"
"0101010100","Caixa","2021-06-28","10.0.0003","33913.0000"
"0101010100","Caixa","2021-07-02","10.0.0003","109606.0000"
"0101010100","Caixa","2022-05-05","10.0.0003","37099.0000"
"0101010100","Caixa","2022-07-08","10.0.0003","73491.9100"
"0101010100","Caixa","2022-09-09","10.0.0003","5421.0000"
"0101010100","Caixa","2023-05-28","10.0.0003","30178.3200"
"0101010100","Caixa","2023-08-04","10.0.0003","16292.0000"
"0101010100","Caixa","2023-09-21","10.0.0003","122273.6700"
"0101010100","Caixa","2023-12-19","10.0.0003","100.0000"
"0101010100","Caixa","2024-05-13","10.0.0003","132937.6800"
"0101010100","Caixa","2024-09-12","10.0.0003","55574.1300"
"0101010100","Caixa","2024-08-26","10.0.0003","12401.0300"
"0101010100","Caixa","2024-12-26","10.0.0003","3476.0000"
"0101010100","Caixa","2025-02-10","10.0.0003","23099.7900"
"0101010100","Caixa","2025-05-07","10.0.0003","74000.0000"
"0101010201","Banco Um","2020-12-28","10.0.0004","150.0000"
"0101010201","Banco Um","2020-12-29","10.0.0004","500.0000"
"0101010201","Banco Um","2020-08-31","10.0.0004","190.0000"
"0101010201","Banco Um","2020-11-03","10.0.0004","200.0000"
"0101010201","Banco Um","2021-07-20","10.0.0004","460.0000"
"0101010201","Banco Um","2023-12-07","10.0.0004","200.0000"
"0101010201","Banco Um","2020-12-08","10.0.0005","27434.3000"
"0101010201","Banco Um","2021-01-04","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-02-05","10.0.0005","2000.0000"
"0101010201","Banco Um","2020-07-22","10.0.0005","5000.0000"
"0101010201","Banco Um","2019-08-23","10.0.0005","24000.0000"
"0101010201","Banco Um","2019-09-06","10.0.0005","636036.8200"
"0101010201","Banco Um","2019-10-15","10.0.0005","13000.0000"
"0101010201","Banco Um","2019-11-11","10.0.0005","13000.0000"
"0101010201","Banco Um","2019-12-10","10.0.0005","13000.0000"
"0101010201","Banco Um","2019-12-16","10.0.0005","8659.7100"
"0101010201","Banco Um","2019-01-01","10.0.0005","392914.8700"
"0101010201","Banco Um","2021-04-06","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-04-22","10.0.0005","30000.0000"
"0101010201","Banco Um","2021-05-03","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-03-02","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-06-07","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-07-01","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-08-02","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-09-01","10.0.0005","2000.0000"
"0101010201","Banco Um","2021-09-28","10.0.0005","215000.0000"
